x	y
TCGA.44.4112.01	2.13170162400884e-06	3.20545219954738e-06
TCGA.NJ.A4YP.01	1.88747826699535e-05	6.89904763992867e-06
TCGA.86.8278.01	3.20023020149383e-06	-1.49581939694695e-06
TCGA.05.4430.01	-7.61696110687186e-06	-1.18128663285253e-06
TCGA.44.6778.01	-9.17169421815876e-06	9.40040754359706e-07
TCGA.97.A4M1.01	-1.08107121661549e-05	-1.47304173361478e-05
TCGA.55.6975.01	-2.78946077587145e-06	5.75721584729016e-06
TCGA.99.8033.01	3.0220548253917e-06	6.3878015450535e-06
TCGA.05.4420.01	-1.57638034260773e-05	1.22541936359936e-06
TCGA.05.4382.01	-1.38897563603054e-05	1.59194643076318e-05
TCGA.50.6597.01	4.93980699346143e-06	-1.0732021815175e-05
TCGA.69.8255.01	-3.87464239848616e-06	-1.13065387374067e-06
TCGA.97.8552.01	1.60590422626869e-06	-1.71295540938415e-05
TCGA.53.A4EZ.01	-7.47313374115472e-06	5.74253082798338e-06
TCGA.78.7162.01	8.70058894455484e-06	-7.86331363378647e-06
TCGA.62.A46U.01	-6.13286817561464e-06	-6.79382638458483e-06
TCGA.MP.A4T8.01	1.11711849965738e-05	9.2890247202857e-06
TCGA.62.A470.01	1.43129852500686e-05	1.65474063226822e-06
TCGA.55.1596.01	-9.65843424859904e-06	5.43492090737738e-06
TCGA.93.A4JN.01	-9.79295960538627e-06	2.88318963817241e-06
TCGA.55.8096.01	-1.30233103013791e-05	-7.72515005306822e-06
TCGA.93.A4JQ.01	-1.08076909899202e-06	-5.12645042040806e-06
TCGA.86.6851.01	-1.13319939724076e-05	-1.43075061963661e-06
TCGA.62.8398.01	1.90939163759372e-05	4.25385384075355e-06
TCGA.J2.A4AG.01	1.53026388341727e-05	-6.92192835911057e-06
TCGA.55.5899.01	-8.17388281787384e-06	1.1790921796188e-05
TCGA.MP.A4TK.01	-1.83932125089482e-06	4.55568466107402e-06
TCGA.L9.A443.01	1.26418948040926e-05	4.69247906565145e-06
TCGA.55.8208.01	-9.97523929128184e-06	7.39046523263525e-06
TCGA.MN.A4N5.01	6.71136797672318e-07	4.10916225656172e-06
TCGA.64.5775.01	5.91078130740958e-06	6.11398187757233e-06
TCGA.62.8394.01	-1.45966879913833e-05	-8.17861133000294e-06
TCGA.05.4405.01	-9.20735843694139e-06	-9.40485427193651e-07
TCGA.86.8359.01	1.32391925887267e-05	1.63757644593168e-06
TCGA.97.8176.01	1.33631803204883e-05	3.80431348191417e-06
TCGA.05.5428.01	-1.5796411392518e-05	4.73468310490631e-06
TCGA.50.5931.01	-9.64262453892432e-06	9.71039693577789e-07
TCGA.64.1679.01	-1.7315528739157e-05	8.01288299869726e-06
TCGA.78.7146.01	-7.93986897992561e-06	4.72126957872206e-06
TCGA.MN.A4N1.01	-1.24570014636446e-05	8.69546958746016e-07
TCGA.91.6847.01	-9.78680165330137e-06	-6.82630912197205e-06
TCGA.75.6206.01	1.98522525429923e-05	5.5608790353356e-06
TCGA.95.7948.01	4.59130560649997e-06	-2.57146901982364e-06
TCGA.MP.A4TC.01	-1.05304279806068e-05	2.66524630669947e-06
TCGA.78.7149.01	-5.18461192861387e-06	1.77516782638081e-06
TCGA.49.6744.01	7.24368733126597e-07	-6.06768717353594e-06
TCGA.78.7154.01	-1.09295837964347e-05	4.2475018558638e-06
TCGA.55.6971.01	2.40994491562876e-06	4.68749265176022e-06
TCGA.05.4410.01	-1.74803738441549e-05	4.45509420203832e-06
TCGA.86.7954.01	-4.44518943459945e-06	-4.39547414532442e-06
TCGA.55.7910.01	-3.65072793749831e-06	6.71620972175886e-06
TCGA.44.2655.01	8.50874388966368e-06	1.30180948320251e-07
TCGA.50.5944.01	-1.16768897716241e-05	-1.19635543122853e-05
TCGA.62.A46Y.01	-6.49989643906166e-06	-5.54107633243537e-06
TCGA.55.6982.01	4.56523328079757e-06	-1.23325191347252e-05
TCGA.55.6642.01	1.6971214909279e-05	1.47327600999488e-06
TCGA.44.6144.01	-3.81958272732181e-06	2.51944697679944e-06
TCGA.05.4415.01	5.74113782337253e-06	8.57477468627361e-06
TCGA.44.A479.01	-3.15198847021902e-06	2.04356039052463e-06
TCGA.55.8087.01	6.96718547028393e-06	-1.13288300986622e-05
TCGA.50.6673.01	-6.65616672819763e-06	-1.35175664976524e-05
TCGA.55.8207.01	1.39228137274562e-05	-3.11143589257574e-06
TCGA.86.6562.01	4.32421773823243e-06	-7.42542998796984e-06
TCGA.91.8496.01	4.29227892860266e-06	-1.35559925227945e-05
TCGA.55.7727.01	-9.64459107819024e-06	7.50491370745018e-06
TCGA.MP.A4SW.01	4.0118606669978e-06	-1.66766302320534e-05
TCGA.86.8280.01	-6.41918922674833e-06	-1.25296622316351e-05
TCGA.67.6216.01	6.90743469637195e-06	-1.51957084749586e-05
TCGA.38.4629.01	-1.66506372857849e-05	-5.41048867812882e-06
TCGA.55.8203.01	1.88232659194113e-05	9.13252489193834e-06
TCGA.J2.8194.01	1.72948772891284e-05	1.45097467343482e-05
TCGA.55.6968.01	-1.08767202138822e-05	-6.78624819387996e-06
TCGA.55.8619.01	-6.99916634961815e-06	-7.74261678416534e-06
TCGA.44.2668.01	-4.13654986884767e-06	1.51133311912641e-05
TCGA.44.7660.01	-1.11682986618982e-05	1.09306731073767e-05
TCGA.55.8507.01	-6.90203384032281e-06	1.09644113604394e-05
TCGA.NJ.A4YI.01	1.73078949020404e-05	-3.07468143376501e-06
TCGA.91.6831.01	-9.42357194004893e-06	-1.67776445490246e-06
TCGA.75.7027.01	1.78727708985788e-05	1.05573695122089e-05
TCGA.38.4625.01	-8.57169244167651e-06	5.54956784647379e-07
TCGA.44.A4SU.01	-1.36339716902328e-05	-5.24065133117285e-06
TCGA.L9.A444.01	-1.71157811872181e-05	1.17027512292668e-05
TCGA.38.4627.01	1.23805442576201e-06	-1.94344195527397e-05
TCGA.86.8668.01	3.81353280782836e-06	-2.12633249210106e-05
TCGA.62.8395.01	6.84240064214712e-06	-1.22231093513115e-05
TCGA.55.8512.01	1.64024862504698e-05	-3.8202276486846e-06
TCGA.44.A47G.01	-9.7670838821498e-06	5.45933148533657e-06
TCGA.91.6849.01	1.44396658292531e-05	-4.30749764219844e-06
TCGA.67.3770.01	-1.00241456951355e-05	-1.07631228758493e-05
TCGA.55.6986.01	9.03257995351499e-06	-1.39711891741086e-05
TCGA.44.2665.01	7.77987854143518e-06	-1.26348669724175e-05
TCGA.05.5425.01	-8.47306464388888e-06	4.83653791121796e-06
TCGA.62.A46R.01	-3.36850125743095e-06	1.34798954642822e-05
TCGA.50.6592.01	-9.93772034627297e-06	1.55476467514527e-06
TCGA.55.A494.01	1.0178058624087e-05	1.75963028388477e-06
TCGA.69.8254.01	1.55531014959759e-05	-3.01629480378451e-06
TCGA.53.7624.01	-5.19832005811998e-06	4.95398998760377e-06
TCGA.75.5125.01	-1.43804290097575e-05	-4.85654766466417e-06
TCGA.49.4507.01	1.15414717576452e-05	3.33083044315382e-06
TCGA.86.8054.01	1.94263352506629e-05	9.61174145054578e-06
TCGA.L4.A4E5.01	-1.51939898550868e-05	9.77467819424036e-06
TCGA.44.6775.01	-1.46638490692e-05	-6.93964865375133e-06
TCGA.55.7913.01	-1.51309967495393e-06	5.50401063825736e-06
TCGA.55.7911.01	2.05987235224016e-06	6.14452258972337e-06
TCGA.55.8621.01	-8.52325042380733e-06	-4.69563638474571e-06
TCGA.MP.A4T9.01	-1.29756473562247e-05	-1.31105142267091e-05
TCGA.55.6712.01	-9.11140664299468e-06	-9.60786778559064e-06
TCGA.86.7714.01	5.22108008294555e-06	-1.18603639745233e-05
TCGA.55.8511.01	-1.24876718807591e-05	2.64897074501353e-06
TCGA.44.7670.01	-1.2693891189421e-05	1.53988142478825e-05
TCGA.69.7760.01	-1.0681297066507e-05	-1.03082904097949e-05
TCGA.75.7025.01	5.58383953197915e-06	-1.97809325824476e-05
TCGA.69.7979.01	-1.68851518982214e-05	1.7866194563255e-05
TCGA.55.A4DG.01	-1.21106810349273e-05	-4.5745003646631e-07
TCGA.05.5423.01	-1.08063716752999e-05	-1.25095509422461e-05
TCGA.44.2661.01	3.52484683531124e-06	-2.02958058796265e-05
TCGA.78.7147.01	-1.78618924775662e-05	-1.10640231872599e-06
TCGA.55.8615.01	2.17547712767445e-05	2.29714885386203e-06
