node	type
ABCA1	gene
AKT family	family
AKT1	protein
ATM	gene
BASC complex	complex
BCL2L1	gene
BRCA complex	complex
CBL	gene
CCND2	gene
CCND-CDK4 complex	complex
CCND-CDK6 complex	complex
CCNE-CDK2 complex	complex
CDKN1A	gene
CDKN1B	gene
CDKN2A:ARF	gene
CENTG1	gene
CIC	gene
CMYB	protein
CTNNB1	gene
E2F1	gene
EGFR family	family
EP300	gene
ERK1/2	gene
ERRFI1	gene
FGFR family	family
FOXO family	family
FUBP1	gene
GAB1	gene
GLUT1	gene
GRB2	gene
HIF1A	protein
HGF	ligand
HOXA9	protein
IDH1	gene
IDH2	gene
IGF1R	gene
INK4 family	family
IRS1	gene
LDHA	gene
LDLR	gene
LPA	smallMolecule
LXR family	family
MDM2	gene
MDM4	gene
MEK1/2	gene
MET:EGFR	gene
MGMT	protein
MIR200C	miRNA
MIR26A1	miRNA
MSK1/2	gene
mTORC1	complex
MYC	gene
MYLIP	gene
NF1	gene
NF-kB:HIF1A	complex
PDGFR family	family
PDPK1	gene
PI3K class1a	class
PI3K class1b	class
PI3K class2	class
PI-3-P	gene
PIK3C2B	gene
PIP3	gene
PKC class	class
PKM2	gene
PLCG	gene
polycomb repressive complex	complexWithoutSpecifiedMembers
PRKCE	gene
pS6K	protein
PTEN	gene
RAF family	family
RAS family	family
RB1	gene
RTK class	class
SPRY2	gene
SRC	gene
SREBP	family
SREBP1a	gene
SREBP1a	protein
SREBP2	protein
STAT3	gene
STAT5	gene
TET2	gene
TP53	gene
TSC complex	complex
TSC complex	family
ZEB1	protein
Lipid metabolism	process
CELL SURVIVAL	process
AKT2	gene
AKT3	gene
AKT1	gene
BRCA1	gene
DNA Damage Repair	process
MSH6	gene
CELL MIGRATION	process
BRCA2	gene
CCND1	gene
CDK4	gene
CDK6	gene
CDK2	gene
CCNE1	gene
G1/S PROGRESSION	process
ETV1/4/5	gene
MGMT	gene
EGFR	gene
ERBB2	gene
ERBB3	gene
FGFR2	gene
FGFR1	gene
FOXO1	gene
FOXO3	gene
FOXO4	gene
Glycolysis	process
MET	gene
APOPTOSIS	process
HIF1A	gene
Histone methylation	process
CDKN2A:p16	gene
CDKN2C	gene
CDKN2B	gene
NR1H1	gene
NR1H2	gene
NR1H3	gene
Therapy Resistance	process
ZEB1	gene
CMYB	gene
OLIG2	gene
Chromatin remodeling	process
mTOR	protein
DEPTOR	protein
PRAS40	protein
MLST8	protein
NFKB1	gene
RELA	gene
PDGFRB	gene
PDGFRA	gene
PIK3R1	gene
PIK3R2	gene
PIK3CA	gene
PIK3CB	gene
PIK3CD	gene
PIK3CG	gene
PIK3C2A	gene
PIK3C2G	gene
PI-3-P	smallMolecule
PRKCA	gene
PRKCB1	gene
PRKCD	gene
PRKCG	gene
PRKCH	gene
PRKCI	gene
PRKCQ	gene
PRKCZ	gene
HOXA9	gene
PIP3	smallMolecule
RAF1	gene
ARAF	gene
BRAF	gene
HRAS	gene
KRAS	gene
NRAS	gene
CDKN1A	protein
HGF	gene
DNA methylation	process
G2/M ARREST	process
TSC1	gene
TSC2	gene
