ABCB1	ABCB1*
PLK1	PLK1 (NEW)
PLK2	PLK2 (NEW)
PLK3	PLK3 (NEW)
PLK4	PLK4 (NEW)
PML	PML*
PMS2	PMS2
POLD1	POLD1 (NEW)
POLE	POLE (NEW)
PRPF40B	PRPF40B
PTCH1	PTCH1
PTEN	PTEN
PTPN11	PTPN11
PTPRD	PTPRD
RAD51C	RAD51C (NEW)
RAD51D	RAD51D (NEW)
RAF1	RAF1
RARA	RARA**
RB1	RB1
RET	RET
RICTOR	RICTOR
ROS1	ROS1**
RPS14	RPS14
RUNX1	RUNX1
SF1	SF1
SF3B1	SF3B1
SHH	SHH (NEW)
SLC19A1	SLC19A1*
SLC22A2	SLC22A2*
SLCO1B3	SLCO1B3*
SMAD2	SMAD2
SMAD3	SMAD3
SMAD4	SMAD4
SMARCA4	SMARCA4
SMARCB1	SMARCB1
SMO	SMO
SOD2	SOD2*
SPOP	SPOP
SPRY4	SPRY4
SRC	SRC
SRSF2	SRSF2
STK11	STK11
SUFU	SUFU (NEW)
SULT1A1	SULT1A1*
SUZ12	SUZ12
TACC3	TACC3 (NEW)
TACSTD2	TACSTD2 (NEW)
TET2	TET2
TFG	TFG*
TGFBR2	TGFBR2
TMPRSS2	TMPRSS2*
TP53	TP53
TPMT	TPMT*
TRRAP	TRRAP
TSC1	TSC1
TSC2	TSC2
TYMS	TYMS*
TYR	TYR
U2AF1	U2AF1
U2AF35	(U2AF35)
U2AF2	U2AF2           
U2AF65	(U2AF65)
UGT1A1	UGT1A1*
UMPS	UMPS*
VHL	VHL
WT1	WT1
ZBTB16	ZBTB16 (NEW)
ZRSR2	ZRSR2
