x	y
TCGA.18.3406.01	6.12329700590004e-06	1.46133542860939e-05
TCGA.18.3407.01	1.5940620394686e-05	3.14500534101205e-05
TCGA.18.3408.01	4.1958628128104e-05	4.43354915902703e-05
TCGA.18.3409.01	3.23671586759232e-05	-0.000124498093875225
TCGA.18.3410.01	4.65584277215673e-05	7.89873459997434e-07
TCGA.18.3411.01	5.76527355876682e-05	1.48980035276878e-05
TCGA.18.3412.01	1.58112036560731e-05	3.21936674144757e-05
TCGA.18.3414.01	5.78069253251963e-05	1.07263776980691e-05
TCGA.18.3415.01	2.17968932544536e-05	3.37579431080357e-05
TCGA.18.3416.01	4.18739758649484e-05	-1.27983030127832e-05
TCGA.18.3417.01	-9.11773650447689e-07	-2.53066730098798e-05
TCGA.18.3419.01	2.3133080767262e-05	1.99250007041411e-05
TCGA.18.3421.01	3.19137674134744e-05	-1.34414890104582e-05
TCGA.18.4083.01	3.74152708193204e-05	7.91291476992847e-06
TCGA.18.4086.01	2.43676883504405e-05	2.26147566786978e-05
TCGA.18.4721.01	4.80432924048188e-06	4.11379338562297e-05
TCGA.18.5592.01	3.37491382874082e-05	-9.40161619526647e-06
TCGA.18.5595.01	-6.67581524578745e-06	3.55906498984142e-05
TCGA.21.1070.01	-7.89163197056978e-06	2.21205128766118e-05
TCGA.21.1071.01	-4.65215587195647e-06	3.29575083984382e-05
TCGA.21.1076.01	1.67853282121507e-05	1.37128506015382e-05
TCGA.21.1077.01	1.00590993184636e-06	4.16100384270348e-05
TCGA.21.1078.01	-3.83842567478644e-05	-2.23252072809289e-05
TCGA.21.1081.01	9.31276109587855e-06	2.47393964325427e-05
TCGA.21.5782.01	3.70142789079604e-05	-1.57215030673057e-05
TCGA.21.5784.01	8.97980628521948e-06	9.63065922344108e-06
TCGA.21.5786.01	5.97460140250813e-05	-1.14094367406564e-05
TCGA.21.5787.01	-1.61128691210522e-06	7.73173395735833e-06
TCGA.22.0944.01	2.69665179833361e-05	2.78494502968732e-05
TCGA.22.1002.01	1.85498602951005e-07	1.33029290775949e-05
TCGA.22.1011.01	-4.52924257484419e-06	2.7124577113989e-05
TCGA.22.1012.01	2.74665749351937e-05	2.15571110752518e-05
TCGA.22.1016.01	2.92824198351391e-06	4.50487051006832e-06
TCGA.22.4591.01	6.44173734597879e-05	1.22926589818219e-05
TCGA.22.4593.01	3.89660155814138e-05	2.14387784671093e-05
TCGA.22.4595.01	2.49732049647292e-05	1.56641432120812e-05
TCGA.22.4599.01	5.38283193884866e-05	2.03686836799293e-05
TCGA.22.4601.01	4.76007455259371e-05	4.16107960851079e-06
TCGA.22.4604.01	4.41995462569231e-05	5.18031935152126e-06
TCGA.22.4607.01	1.90544787949973e-05	2.77416920194338e-05
TCGA.22.4613.01	6.32890358096944e-05	-2.61568136067724e-05
TCGA.22.5471.01	3.82368375647137e-05	2.00792261810933e-05
TCGA.22.5472.01	-8.08130921781774e-07	2.7984026050001e-05
TCGA.22.5473.01	6.67837558132665e-05	-5.08795281515536e-05
TCGA.22.5474.01	2.49753056153641e-05	3.26463377129889e-05
TCGA.22.5477.01	8.66046109037346e-05	3.97763170611095e-05
TCGA.22.5478.01	2.94559789315145e-05	1.88836389515635e-05
TCGA.22.5480.01	1.40385582202011e-05	1.49237838217016e-05
TCGA.22.5482.01	4.94050226263966e-05	2.16818914719473e-05
TCGA.22.5485.01	3.10990672370735e-05	2.54616507977718e-05
TCGA.22.5489.01	1.31443361795781e-05	2.36671550928254e-05
TCGA.22.5491.01	6.81145187372062e-05	4.63036174455271e-06
TCGA.22.5492.01	2.63687080340476e-05	-1.83441869290373e-06
TCGA.33.4532.01	6.33547969355373e-05	7.40183677900572e-07
TCGA.33.4533.01	3.64406716307926e-05	-1.2592121273894e-05
TCGA.33.4538.01	5.19317058370211e-05	2.46578244410385e-05
TCGA.33.4547.01	3.59475445514959e-05	2.86167175066097e-05
TCGA.33.4566.01	1.27048670545735e-05	-6.10712604115291e-05
TCGA.33.4582.01	2.24102901369753e-05	2.83779022946451e-05
TCGA.33.4583.01	-6.36827778800128e-06	2.80546991647266e-06
TCGA.33.4586.01	4.03965045049033e-05	-1.2215140948863e-05
TCGA.33.6737.01	4.58374562865072e-07	-5.89292486794617e-06
TCGA.34.2596.01	7.53556182976604e-05	2.55458020236371e-05
TCGA.34.2600.01	6.69630055155052e-05	-2.16591523255559e-05
TCGA.34.2608.01	1.86294352641843e-05	6.72124886789968e-06
TCGA.34.5231.01	3.03591267691921e-05	-1.47135807006407e-05
TCGA.34.5232.01	1.20143513179941e-05	-1.03868425055619e-06
TCGA.34.5234.01	-4.42858631817354e-05	3.26085470804335e-05
TCGA.34.5236.01	2.42911821308825e-05	2.75599926784294e-05
TCGA.34.5239.01	8.62555600412319e-06	-4.63459153079608e-06
TCGA.34.5240.01	5.95595859822901e-05	1.90270031149878e-05
TCGA.34.5241.01	-1.7464016171014e-05	4.34352091588071e-05
TCGA.34.5927.01	4.66259412571002e-05	-9.26955946646854e-06
TCGA.34.5928.01	2.93298187786607e-05	-2.28400418063923e-05
TCGA.34.5929.01	3.38201192680158e-05	5.61669720752658e-06
TCGA.37.3783.01	1.93851361118415e-05	-5.41296859196323e-06
TCGA.37.3789.01	3.03708193976979e-05	-2.11378769291529e-05
TCGA.37.4133.01	5.99934647510288e-05	3.2868879351872e-06
TCGA.37.4135.01	5.90341633670697e-05	2.50411470661291e-05
TCGA.37.4141.01	1.95121146310382e-05	-1.16501460155498e-06
TCGA.37.5819.01	2.66219301118061e-05	-1.79380686125095e-05
TCGA.39.5016.01	3.58664225768241e-05	1.28424976257782e-05
TCGA.39.5019.01	2.81843933772885e-05	4.20558700547318e-05
TCGA.39.5021.01	2.11516270987602e-05	2.64361982492174e-05
TCGA.39.5022.01	-1.51637608216889e-05	-2.09843729248947e-05
TCGA.39.5024.01	1.1888153225803e-05	1.31714468025022e-05
TCGA.39.5027.01	5.02199763847528e-05	2.54982485080791e-05
TCGA.39.5028.01	6.28078362007729e-06	2.2391206214901e-05
TCGA.39.5029.01	2.29233481654387e-05	3.47421260175487e-06
TCGA.39.5030.01	-1.8527761860709e-05	1.74777074787876e-05
TCGA.39.5031.01	3.37348707293672e-05	-4.25577954720846e-06
TCGA.39.5035.01	1.28770858141208e-05	1.67168153314662e-05
TCGA.39.5036.01	3.85581504866282e-05	3.26525244103114e-06
TCGA.39.5037.01	4.50993441679535e-05	-1.37024492611567e-05
TCGA.39.5039.01	-2.75867332317848e-05	3.35569191270043e-05
TCGA.43.2578.01	1.49775927765359e-06	-9.4843126018991e-06
TCGA.43.3394.01	8.41198909974329e-05	2.39498287575772e-05
TCGA.43.3920.01	4.58904570186497e-05	1.48723518980976e-05
TCGA.43.5668.01	1.48891748662908e-05	2.07311381718319e-06
TCGA.43.6143.01	2.23081897423774e-05	-1.52171807067462e-06
TCGA.43.6647.01	-2.67143055483409e-05	2.22291275517493e-05
TCGA.43.6770.01	2.95167910012689e-05	4.61633730341774e-05
TCGA.43.6771.01	-4.65255400097933e-05	2.58423709378275e-05
TCGA.46.3765.01	3.52626677020442e-05	1.40234487558373e-05
TCGA.46.3766.01	-3.20441203237902e-05	3.96723664404428e-05
TCGA.46.3767.01	1.20939939552505e-05	1.4054278326912e-05
TCGA.46.3768.01	5.8109212908268e-05	-3.22687377703117e-06
TCGA.46.3769.01	2.1087204520347e-05	-3.00462580977451e-05
TCGA.46.6025.01	1.76372248597436e-05	1.77351919987295e-05
TCGA.46.6026.01	4.67681762285225e-05	3.86167460062202e-05
TCGA.51.4079.01	3.65433740613324e-05	-1.0933996911913e-06
TCGA.51.4080.01	5.18282180284099e-05	1.86554333460978e-05
TCGA.51.4081.01	5.53414219271109e-05	3.61395183752426e-05
TCGA.56.1622.01	4.47536929450659e-05	2.69882453678098e-05
TCGA.56.5897.01	1.52247899943813e-05	3.91304950376468e-06
TCGA.56.5898.01	1.0198356971581e-05	3.84480837407902e-05
TCGA.56.6545.01	2.35357978909049e-05	1.83126683792611e-06
TCGA.56.6546.01	1.08634870245941e-05	-5.16209555151889e-06
TCGA.60.2698.01	3.81978068407533e-05	-6.00013493752734e-05
TCGA.60.2707.01	2.17291127986256e-05	3.04833868333001e-05
TCGA.60.2708.01	4.70403091990485e-05	3.68829403224179e-05
TCGA.60.2709.01	-1.79418269780081e-05	9.20175317411193e-06
TCGA.60.2710.01	5.61863324200483e-05	-4.3807187803723e-06
TCGA.60.2711.01	6.0440883464619e-05	4.07352313023642e-05
TCGA.60.2712.01	-1.15251412361349e-05	3.25901688508588e-05
TCGA.60.2713.01	4.00844198119423e-05	3.34172145985441e-05
TCGA.60.2715.01	-2.5362823224047e-05	-2.86491555171797e-06
TCGA.60.2719.01	5.30197706257781e-05	1.78190404630843e-05
TCGA.60.2720.01	2.19458185953373e-06	-4.61026751453052e-06
TCGA.60.2721.01	3.33952014695783e-05	3.14714909446328e-05
TCGA.60.2722.01	3.30451554197128e-05	1.62064699278924e-05
TCGA.60.2723.01	3.26498940912721e-05	2.54386561200839e-05
TCGA.60.2724.01	2.76225880486646e-05	-2.95174439458593e-07
TCGA.60.2725.01	-4.9791599307492e-07	2.29649257513556e-05
TCGA.60.2726.01	8.15059737374273e-06	-2.33010352516666e-06
TCGA.63.5128.01	4.84865816723123e-05	3.14465940051073e-05
TCGA.63.5131.01	3.50744804663546e-05	1.30021978655824e-05
TCGA.63.6202.01	-1.03257553746736e-05	-2.61498700297854e-05
TCGA.66.2727.01	4.58754297575506e-05	1.55157338946747e-05
TCGA.66.2734.01	2.33418858074869e-05	-4.74919381768208e-06
TCGA.66.2742.01	3.40891098833161e-05	1.43793568494526e-05
TCGA.66.2744.01	1.10009641339013e-05	-1.14553678603272e-06
TCGA.66.2754.01	4.76199848196145e-06	5.6532911643556e-07
TCGA.66.2755.01	3.31194289769074e-05	6.68535335826835e-06
TCGA.66.2756.01	4.74896543187023e-05	-1.73771767718465e-05
TCGA.66.2757.01	4.64241226346855e-05	1.97557878654406e-06
TCGA.66.2758.01	4.25541391517556e-05	3.37202815314233e-05
TCGA.66.2759.01	6.24676952336232e-05	-6.50630444282564e-06
TCGA.66.2763.01	4.21992532007406e-05	1.56255309923652e-05
TCGA.66.2765.01	1.84383222003542e-05	-1.08422271727044e-05
TCGA.66.2766.01	5.69075330787098e-05	-8.5850285479056e-06
TCGA.66.2767.01	2.71012134007097e-05	2.53566212429825e-05
TCGA.66.2768.01	1.88673690807147e-05	9.9206142970833e-07
TCGA.66.2770.01	2.26278690879058e-05	2.49321054712283e-05
TCGA.66.2771.01	-5.55069015043028e-06	-4.78336106783992e-07
TCGA.66.2773.01	7.68284905319176e-06	-1.83279078101607e-05
TCGA.66.2777.01	4.30410968470206e-05	1.35092400189749e-05
TCGA.66.2778.01	-2.15225155635189e-05	-1.19414120105795e-06
TCGA.66.2780.01	-4.15401346601215e-06	2.99720851151681e-05
TCGA.66.2781.01	2.37244232691386e-05	3.02841351568343e-06
TCGA.66.2782.01	1.93030029525012e-05	6.57627756192586e-07
TCGA.66.2783.01	3.69154520262986e-05	1.95013240013713e-05
TCGA.66.2785.01	1.03358665291587e-05	-8.7856689310264e-05
TCGA.66.2786.01	3.54588532801485e-05	1.5481526441767e-05
TCGA.66.2787.01	6.23091921844765e-05	-4.6492336744895e-05
TCGA.66.2788.01	9.37515138727547e-06	1.36887526803578e-05
TCGA.66.2789.01	1.05798216786864e-05	9.27041368722671e-06
TCGA.66.2791.01	1.33771138502946e-05	2.50886918827717e-05
TCGA.66.2792.01	6.72103452102818e-05	4.83811350470749e-05
TCGA.66.2793.01	1.46177702729827e-05	6.43146731613845e-06
TCGA.66.2794.01	3.82928917658723e-05	2.50226773235541e-05
TCGA.66.2795.01	3.8275243870071e-05	1.02554577519366e-05
TCGA.66.2800.01	5.54597401697187e-05	2.39533247854316e-05
TCGA.70.6722.01	-2.63667424337648e-05	-1.64953502588733e-05
TCGA.70.6723.01	2.75989624594715e-05	2.74714950733974e-05
TCGA.85.6175.01	-4.19763763384295e-05	3.31473574072208e-05
TCGA.85.6560.01	1.53595173004191e-05	-7.11495556908744e-06
TCGA.85.6561.01	3.64835007734778e-05	-5.10580230910969e-05
TCGA.05.4244.01	-6.89218529163221e-05	-1.77188610709761e-05
TCGA.05.4249.01	-5.35451491797236e-05	-3.47394796948921e-05
TCGA.05.4250.01	-4.0340794792206e-05	6.72455873772593e-06
TCGA.05.4382.01	5.06928168862226e-06	-0.000114846327060871
TCGA.05.4384.01	-1.88950078513997e-05	-1.39137436314304e-05
TCGA.05.4389.01	-2.74916663557936e-05	1.8783445118344e-06
TCGA.05.4390.01	-5.40367235965825e-05	-1.25085010427119e-05
TCGA.05.4395.01	-4.56160649556594e-06	-2.07784279772411e-05
TCGA.05.4396.01	3.93711998030377e-05	-0.000197577072391655
TCGA.05.4397.01	3.31079067440349e-05	-5.22047082050398e-05
TCGA.05.4398.01	1.43199993149374e-05	-4.44125439106607e-05
TCGA.05.4402.01	-5.25688537210061e-06	1.22681186788523e-05
TCGA.05.4403.01	-4.93819532828471e-05	-5.12093853683699e-07
TCGA.05.4405.01	-1.35374424523047e-05	-2.76216697603636e-05
TCGA.05.4410.01	9.63209811596068e-06	-7.91851989487689e-05
TCGA.05.4415.01	-6.80463927846348e-05	-5.95856669454128e-06
TCGA.05.4417.01	-5.93687132389813e-05	-1.18665090785563e-05
TCGA.05.4418.01	-5.97643305786831e-05	1.63845483450666e-05
TCGA.05.4420.01	2.37001640596555e-05	-4.96800017561316e-06
TCGA.05.4422.01	-4.36348286184942e-05	9.79893145729417e-06
TCGA.05.4424.01	1.3340870634463e-05	-8.4680489918864e-05
TCGA.05.4425.01	-4.79918099276203e-05	1.23672513215398e-05
TCGA.05.4426.01	-1.11609076019267e-05	1.97895177294844e-05
TCGA.05.4427.01	7.72378834975182e-06	-0.000117878968152884
TCGA.05.4430.01	-1.07585491964073e-05	-3.34504970817477e-05
TCGA.05.4432.01	-2.04724342156934e-05	-3.78410938454177e-05
TCGA.05.4433.01	-2.9006293599458e-05	1.94420925308973e-05
TCGA.05.4434.01	-4.54757299361063e-05	9.33824887047221e-06
TCGA.05.5420.01	-4.74990269369957e-05	2.65891836667424e-05
TCGA.05.5423.01	-3.44538776525043e-05	-1.15581601868282e-05
TCGA.05.5425.01	-3.20587811551337e-05	2.3819926494904e-05
TCGA.05.5428.01	7.05001990878787e-06	-1.52189904293708e-05
TCGA.05.5429.01	-3.81420025204811e-05	3.07538173370348e-05
TCGA.05.5715.01	-3.46906155079337e-05	1.6570952089431e-05
TCGA.35.3615.01	-8.04827336086217e-05	-3.60652042233172e-07
TCGA.35.4122.01	1.33582806779021e-05	-2.59033351125715e-05
TCGA.35.4123.01	-2.39614407109128e-07	-2.00983016240034e-05
TCGA.35.5375.01	3.02524945768317e-05	-1.56141380729076e-06
TCGA.38.4625.01	4.93644647663353e-06	-1.0859875583374e-05
TCGA.38.4626.01	-4.81321244725433e-05	-1.47313284546499e-05
TCGA.38.4627.01	-4.92882313652125e-05	3.10665017635297e-05
TCGA.38.4628.01	-3.88968800960514e-05	6.09783493570979e-07
TCGA.38.4629.01	-1.34755230549168e-05	-1.80176489794865e-05
TCGA.38.4630.01	1.84231472308908e-05	2.93471122693957e-05
TCGA.38.4631.01	7.0923490948564e-06	-4.04767228251811e-05
TCGA.38.4632.01	1.05719758866142e-05	-7.45064089684422e-05
TCGA.38.6178.01	-1.79780014857459e-05	5.39900863665258e-06
TCGA.44.2655.01	-5.23047757648467e-05	2.55847922527083e-05
TCGA.44.2656.01	-9.44325410431997e-06	-7.42631747082438e-05
