x	y
TCGA.02.0003.01	-1.03595836298058e-05	1.95386121731142e-05
TCGA.02.0033.01	-6.2277520940025e-05	2.99703021786373e-05
TCGA.02.0047.01	8.27795412058918e-06	3.76820248586525e-05
TCGA.02.0055.01	-6.92790744386746e-05	-4.23584912113158e-05
TCGA.02.2470.01	-4.13191026412239e-06	-5.67695979241636e-05
TCGA.02.2483.01	-7.17007305792445e-05	4.49590199149606e-05
TCGA.02.2485.01	-4.34095624527934e-06	2.22636831924643e-05
TCGA.02.2486.01	1.12307827570537e-05	1.82503279922823e-05
TCGA.06.0119.01	1.36050856106833e-05	2.96450934460094e-05
TCGA.06.0122.01	2.21058861413208e-05	2.16315292634832e-05
TCGA.06.0124.01	-1.87549241568132e-07	-4.78266036427338e-05
TCGA.06.0126.01	2.38159348118521e-05	2.29397264216249e-05
TCGA.06.0128.01	-5.61701061174258e-05	4.27377652682817e-05
TCGA.06.0129.01	-7.14794504848047e-05	4.74922053832967e-05
TCGA.06.0130.01	-6.32566540441416e-05	1.73907073909828e-05
TCGA.06.0132.01	1.40360626262872e-05	2.31608262351655e-05
TCGA.06.0137.01	5.94831122590126e-05	7.77712302428972e-06
TCGA.06.0139.01	1.24020319207963e-05	2.23823586579198e-05
TCGA.06.0140.01	-7.36903379909366e-06	8.07921524152539e-06
TCGA.06.0141.01	1.41274281726439e-05	2.57128936546349e-05
TCGA.06.0142.01	5.22614928763574e-05	8.56523515625612e-06
TCGA.06.0145.01	2.0693341271222e-05	1.96691273206722e-05
TCGA.06.0151.01	3.27785106267428e-05	1.93479700902243e-05
TCGA.06.0152.01	1.01254975481814e-05	2.50081159805755e-05
TCGA.06.0154.01	5.5774876037646e-05	9.56236686518984e-06
TCGA.06.0155.01	3.92764748607128e-05	-6.24528294651906e-05
TCGA.06.0157.01	3.66838254618119e-05	-6.41337199684394e-05
TCGA.06.0158.01	5.74096642550638e-05	8.25066882852796e-06
TCGA.06.0165.01	9.25427015743204e-06	2.73222037261665e-05
TCGA.06.0166.01	-8.25346976067582e-06	-4.40320474137855e-05
TCGA.06.0168.01	-5.69001755508802e-06	-5.33648693315517e-05
TCGA.06.0169.01	1.6281031668315e-05	2.33020260302144e-05
TCGA.06.0173.01	2.72424028666843e-05	1.99598479970284e-05
TCGA.06.0174.01	5.32406486991662e-05	7.74004329764678e-06
TCGA.06.0178.01	8.71202715213771e-06	2.61247994542716e-05
TCGA.06.0184.01	-7.12627261469505e-05	-4.16530299472628e-05
TCGA.06.0185.01	5.79940289228085e-05	9.55768837118286e-06
TCGA.06.0188.01	-6.80794502293878e-05	-4.88768586721154e-05
TCGA.06.0189.01	-5.15490501417103e-05	3.09648190757688e-05
TCGA.06.0192.01	1.37163595727745e-06	-4.54053434766775e-05
TCGA.06.0195.01	-6.65048736304156e-05	-5.32052435428924e-05
TCGA.06.0209.01	2.18315266700295e-05	1.93620717728633e-05
TCGA.06.0213.01	-3.33325902265841e-05	-5.13240204459795e-05
TCGA.06.0214.01	9.36219811258352e-06	2.79037018341423e-05
TCGA.06.0216.01	8.46091772646827e-06	-5.14919198030142e-05
TCGA.06.0219.01	7.26165146278537e-06	2.22601762627183e-05
TCGA.06.0237.01	-1.06082130785698e-05	1.29590564342074e-05
TCGA.06.0238.01	-5.31840970846148e-05	2.56417194363086e-05
TCGA.06.0240.01	1.01372983455854e-05	2.53417137189453e-05
TCGA.06.0241.01	-5.06064994302292e-05	3.12978553370206e-05
TCGA.06.0644.01	-5.87999847404335e-05	-3.68089915558061e-05
TCGA.06.0645.01	2.16210678169702e-05	1.81970670676804e-05
TCGA.06.0646.01	1.36491473397506e-05	2.21590974663168e-05
TCGA.06.0648.01	1.16533001442854e-05	2.23026046308969e-05
TCGA.06.0649.01	2.5150557429952e-05	-6.12115402591284e-05
TCGA.06.0650.01	5.92119396687114e-05	6.78953826080872e-06
TCGA.06.0686.01	9.59495853609492e-06	2.03189133859586e-05
TCGA.06.0743.01	-8.89114422764201e-06	-4.5936217390851e-05
TCGA.06.0744.01	-4.39722073488438e-05	3.03540172487292e-05
TCGA.06.0745.01	1.12310743382755e-05	2.68679263840964e-05
TCGA.06.0747.01	5.76941751602731e-05	8.344037200738e-06
TCGA.06.0749.01	3.73984397930614e-05	-6.36967880270799e-05
TCGA.06.0750.01	4.97250022818364e-05	1.29203749636781e-05
TCGA.06.0875.01	-6.79091072415509e-05	-3.97433205692532e-05
TCGA.06.0876.01	-2.01759338386536e-05	-4.77827429601646e-05
TCGA.06.0877.01	2.26027332112286e-05	2.81617283652162e-05
TCGA.06.0878.01	5.12872650748341e-05	9.95652338476742e-06
TCGA.06.0879.01	5.63300114426632e-05	1.62222853815732e-05
TCGA.06.0881.01	3.17721941582186e-05	-6.39472196519541e-05
TCGA.06.0882.01	-1.97729164411166e-06	-5.12854437545108e-05
TCGA.06.0939.01	-2.02002507537398e-05	-6.14616040282252e-05
TCGA.06.1804.01	3.0647284408854e-05	-6.38865254839791e-05
TCGA.06.1806.01	2.17076438313379e-05	2.40505968042006e-05
TCGA.06.2557.01	5.21704873371206e-05	3.13780042016618e-06
TCGA.06.2558.01	-6.13476309543279e-05	-3.92718672373072e-05
TCGA.06.2559.01	-6.10971222607885e-05	-4.24705937961224e-05
TCGA.06.2561.01	3.53797597357433e-05	-6.18937050986444e-05
TCGA.06.2562.01	1.12688131031556e-05	3.23660043047073e-05
TCGA.06.2563.01	-5.97534274192924e-06	1.07034827407924e-05
TCGA.06.2564.01	1.39467755859511e-05	2.01534140240306e-05
TCGA.06.2565.01	4.13217188749595e-05	-6.31124814905507e-05
TCGA.06.2567.01	-1.18693890718474e-05	1.47451829923809e-05
TCGA.06.2569.01	-7.04423087537682e-05	3.6143449193175e-05
TCGA.06.2570.01	-6.94845651735263e-05	5.40921517554216e-05
TCGA.06.5408.01	-5.15705333568934e-05	3.01461132853574e-05
TCGA.06.5410.01	1.19038375794732e-05	2.69900331781795e-05
