x	y
TCGA.CS.5395	-1.34562516703872e-05	-2.08657051046187e-06
TCGA.DU.7292	-9.73008295086345e-06	-2.5286598769659e-06
TCGA.HT.A5RC	-1.14208424280496e-05	-4.01321498725334e-06
TCGA.TQ.A7RR	9.37483268161455e-06	1.04002956408229e-05
TCGA.DU.8162	-6.1438357356485e-06	-2.28667320597234e-06
TCGA.P5.A72W	9.54413956052677e-06	1.00479485449985e-05
TCGA.S9.A6TU	7.29459998747284e-06	4.44485915498779e-06
TCGA.DU.5855	6.66599615913264e-06	8.80333325878109e-06
TCGA.HT.7884	7.1112575398532e-06	1.0912116481009e-05
TCGA.TQ.A7RQ	1.13276742124541e-05	-1.1155001174757e-05
TCGA.FG.A4MW	-1.60027717618251e-05	-1.84742594581259e-06
TCGA.IK.8125	1.21496691676306e-05	-1.08197284360064e-05
TCGA.HT.8018	8.61296703423145e-06	1.06096220239725e-05
TCGA.DB.A75P	-1.78865669265197e-06	-3.35856109156906e-06
TCGA.QH.A6X8	1.33069975424842e-05	-5.85313272937995e-06
TCGA.HT.A5R5	4.7253282185333e-06	8.84657212349956e-06
TCGA.HT.A618	1.35743467437679e-05	9.66258045624272e-06
TCGA.FG.6691	4.85341293217081e-06	9.01262759801213e-06
TCGA.HT.7467	1.10503276177303e-05	-8.87523003595095e-06
TCGA.S9.A7R3	7.12666997355045e-06	4.1627246774927e-06
TCGA.QH.A6CX	-1.10704720514876e-05	-2.82430128839404e-06
TCGA.FG.A4MX	9.44570159703697e-06	8.41308714487304e-06
TCGA.HT.7681	5.37796538762773e-06	-1.3940754056564e-05
TCGA.S9.A7IZ	4.20513412238797e-06	8.59960255227161e-06
TCGA.DU.A6S7	1.04589982929147e-05	9.63843649605703e-06
TCGA.HW.A5KM	5.22569673247019e-06	8.32174030466624e-06
TCGA.P5.A72Z	1.06994556659786e-05	-1.06836351818035e-05
TCGA.HT.8114	6.39778882196537e-06	9.64820587281385e-06
TCGA.HW.8321	6.03868909406809e-06	5.35598299831724e-06
TCGA.TQ.A7RN	1.16829331518081e-05	-2.75994853739808e-06
TCGA.DH.5141	5.38111680194754e-06	-1.39507667865679e-05
TCGA.CS.6186	-1.1590212951778e-05	-2.104451030557e-06
TCGA.EZ.7264	1.15065228913021e-05	-1.15337558280508e-05
TCGA.P5.A5F4	8.24804433465245e-06	3.58378154738339e-06
TCGA.QH.A65V	1.12229791819899e-05	-1.01441345527014e-05
TCGA.FG.8191	8.70527269049106e-06	8.73403921611506e-06
TCGA.DH.5142	8.12580089247969e-06	7.56477021117309e-06
TCGA.DU.A6S8	1.18909416765996e-05	-1.16102313901521e-05
TCGA.E1.A7YW	9.45823283342854e-06	1.00569639364072e-05
TCGA.CS.6666	1.00734080931047e-05	1.02871877287643e-05
TCGA.DU.7298	6.30247939336834e-06	5.8405059905363e-06
TCGA.DB.A64R	1.06402987782802e-05	-1.10494571287917e-05
TCGA.DU.6406	-1.17809447440111e-05	-2.1002511644689e-06
TCGA.S9.A6UA	-2.59614705808602e-06	1.13871432334463e-06
TCGA.FG.A60L	6.99524539334716e-06	5.43897041961139e-06
TCGA.CS.5390	1.10935691183043e-05	-8.86249105489975e-06
TCGA.S9.A6WP	1.01085124094084e-05	-8.57568636768676e-06
TCGA.DU.A7TB	8.03557367058293e-07	-3.7930744372804e-06
TCGA.DB.5280	8.53355533575581e-06	8.6964471792684e-06
TCGA.DH.A66D	8.6005570945529e-06	9.08028418834261e-06
TCGA.DB.5278	1.0660730755655e-05	-1.11206520359365e-05
TCGA.S9.A6WN	7.96215179847921e-06	-8.5977892091989e-06
TCGA.DB.A4XC	8.50632828010072e-06	8.33657762233066e-06
TCGA.TQ.A7RH	7.03205471102855e-06	9.0439356509356e-06
TCGA.E1.A7YS	8.38619081629608e-06	-8.16142449842897e-06
TCGA.P5.A735	9.80838133032687e-06	8.69926694808213e-06
TCGA.DU.7294	1.20903112003527e-05	-1.04408390683816e-05
TCGA.E1.A7YQ	-1.53919226808402e-05	1.12378147315338e-06
TCGA.HT.7881	9.8325550149169e-06	-7.39279060716951e-06
TCGA.QH.A6CS	-1.10942141273542e-05	-1.36410256870824e-06
TCGA.P5.A5EU	7.50506762847958e-06	8.9457992074647e-06
TCGA.DB.A64X	4.47528791289808e-06	6.47103502523402e-06
TCGA.S9.A6U5	1.19331983191201e-05	-1.07150371927022e-05
TCGA.FG.A70Y	8.15170725524113e-06	9.55673951843074e-06
TCGA.E1.A7YO	1.1254973040166e-05	-1.20348253177997e-05
TCGA.HW.7487	1.24355874308522e-05	-1.14948260060847e-05
TCGA.HW.7491	6.81242991250676e-06	-1.32562594441539e-05
TCGA.HT.7691	-1.12887028116783e-06	-2.90864397898037e-06
TCGA.CS.4944	4.58097500171676e-06	-2.61029196641989e-06
TCGA.FG.A6J1	1.19487936736228e-05	-1.0607539588179e-05
TCGA.S9.A7R7	9.31475987936016e-06	9.17971434484349e-06
TCGA.DB.A75M	8.87155074676821e-06	8.99354335930608e-06
TCGA.HT.7877	1.14407466096238e-05	-1.03854574844507e-05
TCGA.DU.6399	1.42653244372022e-06	7.99596846546917e-06
TCGA.HT.7477	3.66214739565507e-06	1.10470083794018e-05
TCGA.HT.8012	1.18096825289196e-05	-1.20749538050119e-05
TCGA.FG.5965	5.9849283202144e-06	8.70307842770934e-06
TCGA.HT.A614	7.20233471355894e-06	1.1061251348375e-05
TCGA.HT.7695	1.14833674068192e-05	-1.03850885935509e-05
TCGA.QH.A6X4	1.22074333489898e-05	-1.1332398890558e-05
TCGA.P5.A77W	1.27069141190787e-05	-1.02654890918527e-05
TCGA.DU.7302	1.09170131343002e-05	-1.03669891694041e-05
TCGA.DU.7012	-1.18687201311818e-05	-2.70640510587042e-06
TCGA.DU.7309	3.64700870554802e-06	8.54920637622346e-06
TCGA.E1.5307	7.1191566051037e-06	1.05166689403777e-05
TCGA.S9.A7QW	8.19809042196781e-06	7.43426050856742e-06
TCGA.DU.6402	-1.15419684996646e-05	-2.76978927414006e-06
TCGA.HT.7604	6.00982707396861e-06	9.66848205663391e-06
TCGA.P5.A733	5.41178312789176e-06	9.54324184219912e-06
TCGA.HT.7684	5.91594571855614e-06	-2.90521019721412e-06
TCGA.HW.7495	6.25299021653513e-06	-7.51936348404322e-06
TCGA.QH.A65R	9.80269524806089e-06	-7.41126879351684e-06
TCGA.DU.A7TG	1.04384844577269e-05	-7.8400097192588e-06
TCGA.DH.A7UV	3.56935849634218e-06	9.09791366945971e-06
TCGA.HW.A5KK	-7.13688357907302e-06	-2.57787369163189e-06
TCGA.CS.6669	-7.21975825090893e-07	-3.04466990170322e-06
TCGA.CS.4942	5.34337225185177e-06	8.17854082398209e-06
TCGA.DU.A7TC	8.98529253965453e-06	3.39244955977926e-06
TCGA.HT.7610	8.61191775629712e-06	6.76208818214925e-06
TCGA.S9.A6TW	9.82068746495753e-06	-1.18187666640267e-05
TCGA.FG.A60J	7.19941872598421e-06	4.72098533677976e-06
TCGA.E1.5303	9.07020694066901e-06	8.71112582495702e-06
TCGA.QH.A6XC	-1.36197705079245e-05	-2.59172461696333e-06
TCGA.HT.7481	1.06055857251436e-05	-9.89139939418901e-06
TCGA.FN.7833	8.8133659133689e-06	8.87758303772886e-06
TCGA.E1.A7Z4	1.04401762222484e-05	9.05715490554952e-06
TCGA.DU.A5TR	5.95589047983634e-06	9.03486944966649e-06
TCGA.FG.A4MU	-1.31404288242198e-05	-2.64192931969535e-06
TCGA.DU.7300	1.27389176663771e-05	-2.68797640836657e-06
TCGA.HT.7473	4.42168870335947e-06	9.63209696261496e-06
TCGA.TM.A7C3	-1.52222857897138e-05	-1.80669773794313e-06
TCGA.S9.A7IQ	5.61664709956251e-06	-6.70767083339931e-06
TCGA.DU.7008	2.25186720173925e-06	1.0776811618463e-05
TCGA.DB.A64O	-8.37378151893215e-06	-2.74327374063658e-06
TCGA.DU.A5TT	-9.93985088845465e-06	6.64097441162843e-06
TCGA.S9.A6WG	9.30180482219863e-06	9.17856877944472e-06
TCGA.DU.8163	4.78978708043796e-06	8.98708765099628e-06
TCGA.DB.A75O	7.60119463249176e-06	9.31592249075023e-06
TCGA.HT.7688	7.07581003991076e-06	9.64772067954003e-06
TCGA.DU.7304	9.31133375055171e-06	9.06465718458256e-06
TCGA.HT.8019	-7.21975825090901e-07	-3.04466990170323e-06
TCGA.P5.A5EY	-8.61364830992847e-07	-3.08517686939259e-06
TCGA.S9.A6WD	1.27248667058046e-05	-1.06761275886807e-05
TCGA.DU.A7T8	7.54769413518956e-06	8.37834908992645e-06
TCGA.FG.8185	1.08879604840332e-05	6.56153176975689e-06
TCGA.HT.7902	8.97292259009164e-06	1.05320233828424e-05
TCGA.CS.5397	-9.84055965439211e-06	-1.89662285671125e-06
TCGA.TQ.A7RU	1.19764213847513e-05	-1.05030217293816e-05
TCGA.HT.7879	8.52918820970249e-06	9.58503534047958e-06
TCGA.DU.5874	9.13109430654386e-06	-8.17448403501776e-06
TCGA.FG.7641	1.09875290070714e-05	-9.76860445985263e-06
TCGA.FG.6690	9.6856883855442e-06	7.49604185326762e-06
TCGA.HW.8320	7.3687511891288e-06	3.92678904445206e-06
TCGA.HT.8104	-1.57971828334163e-05	-1.95205290694489e-06
TCGA.S9.A7R2	-9.67305716701664e-06	-2.80994145548718e-06
TCGA.R8.A6MK	1.06394673822216e-05	-1.1056469975241e-05
TCGA.QH.A6CY	1.12547945270665e-05	-9.74338316553848e-06
TCGA.S9.A7J1	1.09187619877433e-05	-1.2547112125167e-05
TCGA.P5.A72X	1.01450481858529e-05	9.32858778119908e-06
TCGA.E1.5322	9.86049865503203e-06	4.51915082693736e-06
TCGA.P5.A5F0	7.00409800643307e-06	-1.16569699837032e-05
TCGA.S9.A6WM	-1.60601024484304e-05	3.32588739356767e-06
TCGA.R8.A73M	1.11279327577945e-05	-1.12339226726271e-05
TCGA.FG.A70Z	-1.0105726311165e-05	-2.65000256057157e-06
TCGA.HT.7680	-7.2197582509091e-07	-3.04466990170323e-06
TCGA.DB.A4X9	3.66561850008895e-06	4.4528086863685e-06
TCGA.DU.8167	9.02198503894293e-06	8.25654833933513e-06
TCGA.HT.A74O	8.83074460126796e-06	9.97188820173006e-06
TCGA.FG.8188	1.04979834660964e-05	6.28861910974644e-06
TCGA.P5.A5F6	3.69405211252816e-06	-1.53332455965419e-06
TCGA.DU.A6S3	1.25073356458095e-05	-1.20395385598237e-05
TCGA.HT.8110	-1.12909977189596e-05	-3.41876950364512e-06
TCGA.DB.A4XH	1.0978992996258e-05	-7.33924039876613e-06
TCGA.HT.7485	7.18139817843335e-06	8.58311890626112e-06
TCGA.VW.A7QS	5.98937750687656e-06	-7.54156325025696e-06
TCGA.E1.A7YJ	-1.17776569260685e-05	-2.94690368390992e-06
TCGA.DU.A76L	-9.96221940507948e-06	-2.86738851649461e-06
TCGA.DB.A4XE	6.31122201761847e-06	9.84476858701995e-06
TCGA.S9.A6TS	9.85045581736869e-06	7.76524053380685e-06
TCGA.DB.A64S	8.83844359363561e-06	8.60403865633253e-06
TCGA.CS.6667	7.20266393042518e-06	4.38873624482965e-06
TCGA.E1.A7YL	-8.79431455204806e-06	4.67310633077041e-06
TCGA.E1.A7YV	4.60507137642294e-06	2.916640028126e-06
TCGA.HT.A61C	-7.71852850711412e-06	-6.18238245960887e-06
TCGA.TQ.A7RW	1.1155776811318e-05	6.55551082026423e-06
TCGA.DU.5849	2.57794809508169e-06	-9.91556774217946e-06
TCGA.QH.A6CV	-1.60422706779195e-05	1.14284436533011e-06
TCGA.HT.7468	1.16414282132436e-05	-1.22724580352757e-05
TCGA.FG.6692	-1.43697926219183e-05	-1.88107414252664e-06
TCGA.TQ.A7RI	6.54746781264979e-06	-1.10131696494701e-05
TCGA.DB.5279	7.68401160255454e-06	-7.77072995131104e-06
TCGA.S9.A6U8	8.83844359363561e-06	8.60403865633253e-06
TCGA.HW.7489	8.92568999092791e-06	9.83596530785997e-06
TCGA.R8.A6YH	8.08402863496619e-06	8.42991228523376e-06
TCGA.DU.7018	1.23709277279132e-05	-1.22835252828859e-05
TCGA.HT.7677	1.18092697254203e-05	-1.0559214459184e-05
TCGA.FG.A713	1.3988884919525e-05	-5.4256761291729e-06
TCGA.HT.7875	1.11710758825731e-05	-1.15289657196753e-05
TCGA.TM.A7CA	5.64017071515238e-06	9.10428985392537e-06
TCGA.HT.7690	8.7593610151752e-06	1.02840400479084e-05
TCGA.CS.5393	7.12335204919377e-06	4.96329542450416e-06
TCGA.FG.6689	9.36079070556025e-06	1.01521432637464e-05
TCGA.DU.7007	1.02286421373908e-05	9.71651461706411e-06
TCGA.TQ.A7RF	7.5369516917061e-06	4.01139739545371e-06
TCGA.KT.A7W1	-1.29550495139705e-05	-3.4150112661447e-06
TCGA.HT.A5RA	-1.1856326034853e-05	-2.27242297384195e-06
TCGA.DB.5277	4.24638190995723e-06	7.78679936417553e-06
TCGA.HT.7694	1.17502858885718e-05	-1.15197310706421e-05
TCGA.HT.8013	5.09079297479825e-06	1.0066214068671e-05
TCGA.HW.7490	9.41487777187145e-06	8.15150520015578e-06
TCGA.QH.A65S	1.06427445538329e-05	1.02283070837151e-05
TCGA.DU.A76R	6.76400894361872e-06	-6.54150829308807e-06
TCGA.DH.5144	1.36424524196735e-05	-8.79087088425648e-06
TCGA.CS.6188	-8.66545624498598e-06	-3.77652854659851e-06
TCGA.P5.A780	5.9541932859045e-06	3.6922513749584e-06
TCGA.HT.7606	6.16787322689088e-06	4.42714388411711e-06
TCGA.DU.A7TJ	-1.10941796574212e-05	-2.24083848185265e-06
TCGA.DB.A64V	1.17908980097307e-05	-1.18233110936077e-05
TCGA.E1.5302	8.65490263375988e-06	1.05003795475672e-05
TCGA.HW.A5KJ	7.50134895184185e-06	-7.37444361259434e-06
TCGA.HT.A615	9.12169316208591e-06	-1.02676238810316e-05
TCGA.HT.8105	1.46179817286008e-05	-5.52283663530731e-06
TCGA.DU.A5TY	-1.06946833287011e-05	-2.50434910591326e-06
TCGA.DU.5847	-8.10716660280737e-06	-2.08974944785477e-06
TCGA.DB.5270	6.74492639741852e-06	8.35029396582637e-06
TCGA.HT.7874	9.41243148816786e-06	-8.08083886576686e-06
TCGA.HT.7471	9.07379310043336e-06	-1.12745355458213e-05
TCGA.HT.7882	-1.08097288945704e-05	-2.64877654237498e-06
TCGA.DU.5854	-1.08651589164548e-05	-2.868214528987e-06
TCGA.DU.6395	4.16012789138056e-06	9.21826322815484e-06
TCGA.HT.8011	-1.02641092762426e-05	-2.37031820581107e-06
TCGA.S9.A6TV	1.02628265828438e-05	7.62685241841052e-06
TCGA.P5.A5EW	9.96796085827852e-06	9.67561367291719e-06
TCGA.DB.A4XD	7.58882917096957e-06	7.4195060319408e-06
TCGA.DU.5852	-8.10160530848259e-06	-3.25104848573369e-06
TCGA.DU.6408	1.37123418244096e-05	8.67867974974281e-06
TCGA.FG.8189	2.23526266705402e-06	-8.22330141333213e-06
TCGA.E1.A7YY	1.19666835053694e-05	-1.00124704928001e-05
TCGA.FG.A4MT	1.0333474884441e-05	7.84596427109354e-06
TCGA.HT.A619	7.53229193931226e-06	-9.22573695870712e-06
TCGA.P5.A72U	-1.15851287961619e-05	-2.79723143538239e-06
TCGA.HT.A5R9	2.64704738147869e-06	-1.18213091084902e-05
TCGA.CS.4941	-1.08457536889625e-05	2.85751545289708e-06
TCGA.DU.6404	-5.12772582637826e-06	-2.49761027943188e-06
TCGA.FG.5964	1.12256510492118e-05	-9.87591129874167e-06
TCGA.CS.5396	7.55316861773654e-06	-1.48644501666432e-06
TCGA.HT.8107	-2.77054983870726e-06	-3.59767843502979e-06
TCGA.DU.A7TA	1.17551271160534e-06	7.40826325084302e-06
TCGA.HW.8319	8.96699289880379e-06	8.85527772050861e-06
TCGA.DH.A7UR	6.32018340530526e-06	-1.31174875903407e-05
TCGA.S9.A6TZ	7.09896619858818e-06	4.30316105825861e-06
TCGA.HT.7479	7.44135208924471e-06	4.86767835207379e-06
TCGA.DU.6400	6.24663938441861e-06	-1.19068719612365e-05
TCGA.S9.A6WL	1.01689553956326e-05	-8.21538942943e-06
TCGA.DB.A75K	1.19128949861315e-05	-1.19116007420544e-05
TCGA.DU.8165	-1.02843017704936e-05	9.76823377116779e-06
TCGA.DB.A64Q	1.20911311209895e-05	-1.20630594602645e-05
TCGA.P5.A737	1.08155913690487e-05	-7.64697394049109e-06
TCGA.DB.5275	1.15315358437326e-05	7.62246179886653e-06
TCGA.S9.A6WH	9.88603067332985e-06	-1.2157449988896e-05
TCGA.HT.7602	8.50954883646114e-06	1.21974500207348e-06
TCGA.DU.A5TU	5.29801064035381e-06	1.06602256635069e-05
TCGA.HT.A5RB	7.83819328379086e-06	8.23935241896966e-06
TCGA.E1.A7YN	-8.23114057071671e-06	-2.4781813133095e-06
TCGA.HT.7616	1.17868240052658e-05	-1.10713224104927e-05
TCGA.S9.A7R8	1.02319042935838e-05	7.32963547966587e-06
TCGA.DU.6394	9.51398888740337e-06	-1.02699969807828e-05
TCGA.HT.8111	9.43059128176869e-06	5.85605056344951e-06
TCGA.E1.A7Z2	-8.7074833310595e-06	-3.25774326789067e-06
TCGA.DU.A5TP	1.20940300212018e-05	6.85203215951407e-06
TCGA.S9.A7QZ	1.29734278802125e-05	-5.63826615428842e-06
TCGA.HT.7482	9.46684432213447e-06	9.40111816176916e-06
TCGA.TQ.A7RK	9.47963435827225e-06	8.86198731241132e-06
TCGA.HT.7858	8.83958961466397e-06	8.63388735665997e-06
TCGA.HT.7475	5.11093483009169e-06	8.730071980237e-06
TCGA.HT.8564	-4.33770309878512e-06	5.07407724220922e-06
TCGA.DB.A64U	1.12451559033253e-05	-1.05559056541007e-05
TCGA.S9.A6WE	1.08282236000459e-05	-1.10177479107457e-05
TCGA.DB.A64W	1.1498481659644e-05	-1.1506310546601e-05
TCGA.R8.A6MO	1.08631526838413e-05	-1.07595274398016e-05
TCGA.DU.5872	5.76868254785601e-06	7.77781192320764e-06
TCGA.HW.8322	6.68145278920706e-06	-7.97289444124033e-06
TCGA.CS.6668	1.13084319398324e-05	-1.19653975745306e-05
TCGA.DU.5870	1.1413049590003e-05	-1.01199527924687e-05
TCGA.FG.7636	9.58151455641313e-06	5.96102086623548e-06
TCGA.HT.7692	9.59961116252317e-06	-8.06130814767174e-06
TCGA.FG.8187	8.67614918591321e-06	-9.20721315134242e-06
TCGA.HT.7854	-9.52526028210386e-07	-3.0318900746978e-06
TCGA.R8.A6ML	1.12391993115936e-05	-1.1679842732507e-05
TCGA.HT.7686	7.20393293411598e-06	1.37154689451727e-05
TCGA.DU.6410	4.42972315793382e-06	-7.64304908569371e-06
TCGA.S9.A6U9	8.89157570557368e-06	8.39014098936561e-06
TCGA.CS.6290	7.35375551717182e-06	5.42958707011274e-06
TCGA.TQ.A7RO	6.99499278029604e-06	-1.3553026064228e-05
TCGA.DU.7019	6.40232839939404e-06	3.8756557397026e-06
TCGA.FG.A711	6.29268569498717e-06	7.80895833212598e-06
TCGA.TQ.A7RM	5.27055360190085e-06	5.70078509413243e-06
TCGA.HT.7860	-1.41009767460841e-05	-2.3757027450895e-06
TCGA.S9.A7R4	7.58853634075155e-06	5.88263775135084e-06
TCGA.E1.5318	5.15379969774572e-06	-1.47230473476368e-05
TCGA.HT.7676	9.59854231106816e-06	9.40502706822259e-06
TCGA.S9.A7J3	1.18364705810377e-05	-1.07500724431346e-05
TCGA.DU.A6S2	1.13161874479024e-05	-1.22047377956387e-05
TCGA.P5.A5F2	8.44604561636933e-06	7.27245556538817e-06
TCGA.E1.5304	4.20685921819637e-06	1.2768683693235e-05
TCGA.DU.7006	-1.10820628807309e-05	-3.79876864218014e-06
TCGA.HT.7469	4.23233223173507e-06	6.32988764484703e-06
TCGA.TQ.A7RS	1.07258349063055e-05	-1.12967498482457e-05
TCGA.S9.A7QX	6.09379105889214e-06	1.05475893092057e-05
TCGA.CS.4943	9.10219365053006e-06	9.80585442461939e-06
TCGA.QH.A65Z	1.14054366956063e-05	-1.0106815507666e-05
TCGA.DB.5276	9.31204861952296e-06	9.11920207704368e-06
TCGA.P5.A730	4.00602507945847e-06	-1.03089358203952e-05
TCGA.DU.8161	-8.30365623708701e-06	-1.93441804378156e-06
TCGA.S9.A6UB	9.4666705750468e-06	-1.20996898752296e-05
TCGA.E1.A7YM	-1.03129280806904e-05	-2.51065198167916e-06
TCGA.DB.5273	9.60538457635594e-06	8.37035276938205e-06
TCGA.TM.A7C4	7.23317379662934e-06	9.42951057589749e-06
TCGA.DH.A66F	9.93660410304762e-06	-1.09873418944088e-05
TCGA.HT.7607	1.06413781379381e-05	-7.37557198100838e-06
TCGA.DU.6393	1.21829068087939e-05	-1.27506288953623e-05
TCGA.QH.A6XA	6.64054812003804e-06	9.98530859941222e-06
TCGA.HT.8108	4.38109809155284e-06	9.65460610613892e-06
TCGA.E1.A7YD	-1.20977564434453e-05	6.05597356092651e-06
TCGA.S9.A7IY	1.21710658565952e-05	-1.15046431784029e-05
