Common.RadType	Standardized.RadType	Common.OtherRadType	Standardized.OtherRadType	COMMON.RADTYPE	STANDARDIZED.RADTYPE	COMMON.OTHERRADTYPE	STANDARDIZED.OTHERRADTYPE
		Stereotactic radiosurgery	Stereotactic Radiosurgery             			X-KNIFE	X-KNIFE
		Stereotactic radiotherapy	Stereotactic Radiosurgery             			XRT	XRT      
		Stereotatic Radiosurgery	Stereotactic Radiosurgery             				
		steriostatic Radiosurgery	Stereotactic Radiosurgery             				
		Sterotactic Radiosurger	Stereotactic Radiosurgery             				
		sterotactic radiosurgery	Stereotactic Radiosurgery             				
		Sterotactic radiosurgery	Stereotactic Radiosurgery             				
		Sterotactic Radiosurgery	Stereotactic Radiosurgery             				
		Stereotactic radio sugery	Stereotactic Radiosurgery             				
		stereostatic radiotherapy	Stereotactic Radiotherapy            				
		Sterotactic	Sterotactic                            				
		X-knife	X-Knife				
		XRT	XRT      				
